Prey,Predator
19.6342,0.371455
25.9027,0.407322
33.9841,0.573789
43.7591,1.10615
52.8943,3.00258
50.7154,9.63191
27.8418,19.4442
11.5531,18.366
6.23026,12.1902
4.72907,7.29078
4.55015,4.2504
5.04183,2.49374
6.05431,1.50213
7.60609,0.946025
9.80024,0.635829
12.805,0.467751
16.8525,0.389011
22.2367,0.381252
29.2823,0.464039
38.1791,0.746458
48.2059,1.67866
54.2962,5.12734
41.7473,14.5625
18.5051,20.4019
8.33952,15.5872
5.29995,9.71353
4.54392,5.71081
4.70664,3.32958
5.44009,1.97268
6.68954,1.20979
8.51662,0.782632
11.0548,0.546173
14.5012,0.422951
19.117,0.376853
25.2178,0.404677
33.1044,0.554693
42.728,1.03391
52.1275,2.71417
51.7473,8.7013
30.1385,18.7826
12.5047,18.8188
6.53115,12.7342
4.8216,7.66319
4.5579,4.47449
